t;gas
45;277,9140996
46;294,2089041
47;334,2734565
48;357,9751834
49;324,192129
50;317,6686203
51;315,3054433
52;334,2510802
53;377,6412588
54;420,8264798
55;418,3728497
56;394,3416216
57;402,299468
58;406,9000953
59;403,8067585
60;415,5656471
61;423,9722322
62;445,471774
63;425,0375105
64;432,3275357
65;439,4240891
66;430,4509375
67;432,5971655
68;450,7659605
69;463,6314566
70;428,034477
71;448,0264151
72;458,1277381
73;427,4241401
74;428,0697423
75;432,4870643
76;444,87823
77;424,2128829
78;414,1521227
79;417,2360696
80;425,8388672
81;429,5656257
82;436,1117064
83;456,1526107
84;432,5300201
85;430,5496384
86;431,8452713
87;
88;407,8877203
89;413,2037244
90;431,139274
91;424,7717141
92;422,6992235
93;413,0039571
94;414,5164746
95;410,1492713
96;405,6326031
97;414,7319917
98;405,8579361
99;407,7072548
100;408,5706389
101;382,1408741
102;373,13189
103;395,2382884
104;404,4330161
105;392,965507
106;396,72582
107;403,4186552
108;393,2546957
109;401,1400373
110;417,6478387
111;416,4507375
112;403,3623275
113;401,1731126
114;394,8308944
115;384,3290775
116;382,1740573
117;396,0145681
118;395,7851271
119;385,144109
120;390,0567814
121;375,6078498
122;375,6264896
123;394,1174596
124;403,4494675
125;402,9835754
126;402,088834
127;398,2284817
128;403,4911005
129;402,7709243
130;404,3185838
131;416,2297982
132;412,2474791
133;389,8010837
134;395,6594375
135;391,9576162
136;389,3132361
137;398,4048639
138;423,4607023
139;427,9815794
140;415,5448528
141;411,5213005
142;417,4844699
143;418,8845207
144;414,5099919
145;427,7806623
146;438,4294327
147;417,8606505
148;403,2453012
149;388,0964242
150;399,8340471
151;393,2328958
152;404,4875615
153;409,1058482
154;388,8834315
155;399,6046077
156;400,8110793
